btype;pol;pkg;vceo;ic;hfe;ft_hz;pwr_w;comment
BDW83;NPN;TO3;45;15;750-20k;1M;150;
BDW83A;NPN;TO3;60;15;750-20k;1M;150;
BDW83B;NPN;TO3;80;15;750-20k;1M;150;
BDW83C;NPN;TO3;100;15;750-20k;1M;150;
BDW84;PNP;TO3;45;15;750-20k;1M;150;
BDW84A;PNP;TO3;60;15;750-20k;1M;150;
BDW84B;PNP;TO3;80;15;750-20k;1M;150;
BDW84C;PNP;TO3;100;15;750-20k;1M;150;
BDX10;NPN;TO3;60;15;20-70;-;117;
BDX11;NPN;TO3;140;10;20-70;-;117;
BDX12;NPN;TO3;120;5;20-70;-;100;
BDX13;NPN;TO3;40;15;15-60;-;117;
BDX18;PNP;TO3;70;15;20-70;0.8M;117;
BDX20;PNP;TO3;140;10;20-70;4M;117;
BDX27;PNP;SOT9;40;5;40-250;50M;40;
BDX28;PNP;SOT9;60;5;40-250;50M;40;
BDX29;PNP;SOT9;80;5;40-250;50M;40;
BDX30;PNP;SOT9;100;1;40-250;50M;40;
BDX62;PNP;TO3;60;8;1kmin;7M;90;
BDX62A;PNP;TO3;80;8;1kmin;7M;90;
BDX62B;PNP;TO3;100;8;1kmin;7M;90;
BDX62C;PNP;TO3;120;8;1kmin;7M;90;
BDX63;NPN;TO3;80;8;1kmin;7M;90;
BDX63A;NPN;TO3;100;8;1kmin;7M;90;
BDX63B;NPN;TO3;120;8;1kmin;7M;90;
BDX63C;NPN;TO3;140;8;1kmin;7M;90;
BDX64;PNP;TO3;60;12;1kmin;7M;117;
BDX64A;PNP;TO3;80;12;1kmin;7M;117;
BDX64B;PNP;TO3;100;12;1kmin;7M;117;
BDX64C;PNP;TO3;120;12;1kmin;7M;117;
BDX65;NPN;TO3;60;12;1kmin;7M;117;
BDX65A;NPN;TO3;80;12;1kmin;7M;117;
BDX65B;NPN;TO3;100;12;1kmin;7M;117;
BDX65C;NPN;TO3;120;12;1kmin;7M;117;
BDX66;PNP;TO3;60;16;1kmin;7M;150;
BDX66A;PNP;TO3;80;16;1kmin;7M;150;
BDX66B;PNP;TO3;100;16;1kmin;7M;150;
BDX66C;PNP;TO3;120;16;1kmin;7M;150;
BDX67;NPN;TO3;60;16;1kmin;7M;150;
BDX67A;NPN;TO3;80;16;1kmin;7M;150;
BDX67B;NPN;TO3;100;16;1kmin;7M;150;
BDX67C;NPN;TO3;120;16;1kmin;7M;150;
BDX70;NPN;TO220;60;10;20-80;-;75;
BDX83;NPN;TO3;40;10;750min;-;125;
BDX83A;NPN;TO3;60;10;750min;-;125;
BDX83B;NPN;TO3;80;10;750min;-;125;
BDX83C;NPN;TO3;100;10;750min;-;125;
BDX84;PNP;TO3;40;10;750min;-;120;
BDX84A;PNP;TO3;60;10;750min;-;120;
BDX84B;PNP;TO3;80;10;750min;-;120;
BDX84C;PNP;TO3;100;10;750min;-;120;
BDX85;NPN;TO3;45;10;750-18k;-;100;
BDX85A;NPN;TO3;60;10;750-18k;-;100;
BDX85B;NPN;TO3;80;10;750-18k;-;100;
BDX85C;NPN;TO3;100;10;750-18k;-;100;
BDX86;PNP;TO3;45;10;750-18k;-;100;
BDX86A;PNP;TO3;60;10;750-18k;-;100;
BDX86B;PNP;TO3;80;10;750-18k;-;100;
BDX86C;PNP;TO3;100;10;750-18k;-;100;
BDX87;NPN;TO3;45;12;750-18k;-;117;
BDX87A;NPN;TO3;60;12;750-18k;-;117;
BDX87B;NPN;TO3;80;12;750-18k;-;117;
BDX87C;NPN;TO3;100;12;750-18k;-;117;
BDX88;PNP;TO3;45;12;750-18k;-;117;
BDX88A;PNP;TO3;60;12;750-18k;-;117;
BDX88B;PNP;TO3;80;12;750-18k;-;117;
BDX88C;PNP;TO3;100;12;750-18k;-;117;
BDX91;NPN;TO3;60;8;20min;4M;90;
BDX92;PNP;TO3;60;8;20min;4M;90;
BDX93;NPN;TO3;80;8;20min;4M;90;
BDX94;PNP;TO3;80;8;20min;4M;90;
BDX95;NPN;TO3;100;8;20min;4M;90;
BDX96;PNP;TO3;100;8;20min;4M;90;
BDY10;NPN;TO3;40;2;10-50;-;150;
BDY11;NPN;TO3;70;2;10-50;-;150;
BDY12;PNP;SOT9;40;5;40-100;1M;70m;
BDY13;NPN;SOT9;60;5;40-100;1M;70m;
BDY16;NPN;SOT9;64;2.5;50-300;100M;12;
BDY20;NPN;TO3;60;15;20-70;1M;15;
BDY23;NPN;TO3;60;6;15-180;10M;85;
BDY24;NPN;TO3;90;6;15-180;10M;85;
BDY25;NPN;TO3;140;6;15-180;10M;87.5;
BDY26;NPN;TO3;180;6;15-180;10M;87.5;
BDY27;NPN;TO3;100;6;15-180;10M;87.5;
BDY28;NPN;TO3;250;6;15-180;10M;87.5;
BDY29;NPN;TO3;75;30;15-60;.2M;220;
BDY37;NPN;TO3;140;30;15-60;.2M;150;
BDY38;NPN;TO3;40;6;30min;1M;115;
BDY39;NPN;TO3;60;15;25-100;1.1M;115;
BDY42;NPN;TO3;250;5;20min;12M;60;
BDY43;NPN;TO3;300;5;20min;12M;60;
BDY44;NPN;TO3;350;5;20min;12M;60;
BDY45;NPN;TO3;250;15;20min;13M;95;
BDY46;NPN;TO3;300;15;20min;13M;95;
BDY47;NPN;TO3;350;15;20min;13M;95;
BDY54;NPN;TO3;120;12;20-60;20M;60;
BDY55;NPN;TO3;60;15;20-70;10M;117;
BDY56;NPN;TO3;120;15;20-70;10M;117;
BDY57;NPN;TO3;80;25;20-60;7M;175;
BDY58;NPN;TO3;125;25;20-60;7M;175;
BDY58A;NPN;TO3;125;25;20-60;7M;175;
BDY60;NPN;TO3;60;5;40-300;100M;15;
BDY61;NPN;TO3;60;5;45min;100M;15;
BDY62;NPN;TO3;30;5;45min;100M;15;
BDY71;NPN;TO66;55;4;80-200;-;29;
BDY72;NPN;TO66;120;3;80-200;-;29;
BDY73;NPN;TO3;60;15;50-150;-;117;
BDY74;NPN;TO3;120;10;50-150;-;117;
BDY76;NPN;TO3;60;20;40-120;-;150;
BDY77;NPN;TO3;120;16;40-120;-;150;
BDY78;NPN;TO66;55;4;25-100;-;36;
BDY79;NPN;TO66;120;4;25-100;-;25;
BDY90;NPN;TO3;100;10;30-120;40M;70;
BDY90S;NPN;TO3;100;10;30-120;40M;70;
BDY91;NPN;TO3;80;10;30-120;40M;70;
BDY92;NPN;TO3;60;10;30-120;40M;70;
BDY93;NPN;TO3;350;3;15-60;8M;30;
BDY94;NPN;TO3;300;3;25-80;8M;30;
BDY95;NPN;TO3;250;3;25-80;8M;30;
BDY96;NPN;TO3;350;10;15-60;10M;40;
BDY97;NPN;TO3;300;10;25-80;10M;40;
BDY98;NPN;TO3;250;10;25-80;10M;40;
BF257;NPN;TO39;160;0.1;25min;90M;0.8;
BF258;NPN;TO39;250;0.1;25min;90M;0.8;
BF259;NPN;TO39;300;0.1;25min;90M;0.8;
BF337;NPN;TO39;200;0.1;20min;80M;3;
BF338;NPN;TO39;225;0.1;20min;80M;3;
BF355;NPN;TO39;225;0.1;20min;80M;0.8;
BFQ38S;PNP;TO39;250;1;25min;20M;0.6;
BFT29;NPN;TO18;80;1;50-250;100M;0.36;
BFT30;NPN;TO18;60;1;75-250;100M;0.36;
BFT31;NPN;TO18;50;1;100-300;100M;0.36;
BFT32A;NPN;TO39;60;5;50-300;100M;1;
BFT33A;NPN;TO39;80;5;50-250;100M;1;
BFT34A;NPN;TO39;100;5;50-200;100M;1;
BFT36A;PNP;TO39;80;5;50-250;100M;1;
BFT37A;PNP;TO39;100;5;50-200;100M;1;
BFT39;NPN;TO39;80;1;50-250;100M;0.8;
BFT40;NPN;TO39;60;1;75-250;100M;0.8;
BFT44;PNP;TO39;300;0.5;100typ;60M;5;
BFT48;NPN;TO39;250;0.1;25min;50M;5;
BFT49;NPN;TO39;300;0.1;25min;50M;5;
BFT53;NPN;TO18;35;1;10min;60M;0.36;
BFT54;NPN;TO18;30;1;30min;50M;0.36;
BFT57;NPN;TO18;160;0.2;25min;110M;0.36;
BFT58;NPN;TO18;200;0.2;25min;110M;0.36;
BFT59;NPN;TO18;300;0.2;25min;110M;0.36;
BFT60;PNP;TO39;35;1;50min;60M;0.8;
BFT61;PNP;TO39;30;1;40min;60M;0.8;
BFT62;PNP;TO39;20;1;40min;60M;0.8;
BFT69;PNP;TO18;80;1;50-250;100M;0.36;
BFT70;PNP;TO18;60;1;75-250;100M;0.36;
BFT71;PNP;TO18;50;1;100-300;100M;0.36;
BFT79;PNP;TO39;80;1;50-250;100M;0.8;
BFT80;PNP;TO39;60;1;75-250;100M;0.8;
BFT81;PNP;TO39;50;1;100-300;100M;0.8;
BFW16;NPN;TO39;25;0.15;25min;1.2G;1.5;
BFW43;PNP;TO18;150;50m;40min;60M;0.4;
BFW44;PNP;TO39;150;50m;40min;60M;0.7;
BFX11;PNP;TO77;45;0.5;90min;130M;0.5;
BFX17;NPN;TO39;40;1;35min;250M;0.8;
BFX29;PNP;TO39;60;0.6;50min;100M;0.6;
BFX30;PNP;TO39;65;0.6;50-200;-;0.6;
BFX34;NPN;TO39;60;5;40-150;70M;0.87;
BFX36;PNP;TO77;60;50m;100-300;40M;0.6;
BFX37;PNP;TO18;60;50m;100min;40M;0.36;
BFX37L;PNP;TO18L;60;50m;100min;40M;0.36;
BFX38;PNP;TO39;55;1;85min;100M;0.8;
BFX40;PNP;TO39;75;1;85min;100M;0.8;
BFX41;PNP;TO39;75;1;85min;100M;0.8;
BFX48;PNP;TO18;30;0.1;90min;400M;0.36;
BFX67;NPN;TO72;60;0.3;7kmin;-;0.5;
BFX79;N/P;TO77;60;0.6;60min;60M;0.6;
BFX80;N/P;TO77;60;0.2;160min;40M;0.4;
BFX81;N/P;TO77;20;0.2;25min;350M;0.5;
BFX84;NPN;TO39;60;1;20min;50M;0.8;
BFX85;NPN;TO39;60;1;50min;50M;0.8;
BFX86;NPN;TO39;35;1;50min;50M;0.8;
BFX87;PNP;TO39;50;0.6;40min;100M;0.6;
BFX88;PNP;TO39;40;0.6;40min;100M;0.6;
BFY50;NPN;TO39;35;1;30min;60M;0.8;
BFY50L;NPN;TO5;35;1;30min;60M;0.8;
BFY51;NPN;TO39;30;1;40min;60M;0.8;
BFY52;NPN;TO39;20;1;60min;60M;0.8;
BFY56;NPN;TO39;45;1;30-150;40M;0.8;
BFY64;PNP;TO39;40;0.5;80min;200M;0.7;
BFY75;NPN;TO18;45;-;65-300;250M;0.36;
BFY81;NPN;TO77;45;50m;150min;60M;0.5;
BFY82;NPN;TO77;45;0.1;50min;250M;0.5;
BFY83;NPN;TO77;100;0.1;50min;50M;0.6;
BFY84;NPN;TO77;12;0.2;20min;600M;0.38;
BFY90;NPN;TO72;15;25m;25-150;1G;0.2;
BLX40;PNP;TO39;80;2;30-120;20M;13;
BLX48R;PNP;TO39;100;5;30-250;20M;18;
BLY11;PNP;TO39;100;2;30-120;20M;13;
BLY48A;NPN;TO66;100;3;-;15M;40;
BLY49A;NPN;TO66;250;3;-;15M;40;
BLY50A;NPN;TO66;250;3;-;15M;40;
BSS44;PNP;TO39;60;5;40min;70M;5;
BSS71;NPN;TO18;200;0.5;40-250;50M;0.5;
BSS72;NPN;TO18;250;0.5;40-250;50M;0.5;
BSS73;NPN;TO18;300;0.5;40-250;50M;0.5;
BSS74;PNP;TO18;200;0.5;35-150;50M;0.5;
BSS74R;PNP;TO18;200;0.5;35-150;50M;0.5;
BSS75;PNP;TO18;250;0.5;35-150;50M;0.5;
BSS76;PNP;TO18;300;0.5;35-150;50M;0.5;
BSS77;NPN;TO18;200;0.5;40-250;50M;0.5;
BSS78;NPN;TO18;200;250;40-250;50M;0.5;
BSV15;PNP;TO39;40;1;40-250;30M;5;
BSV16;PNP;TO39;60;1;40-250;30M;5;
BSV17;PNP;TO39;80;1;-;50M;5;
BSV60;NPN;TO39;40;5;40-120;50M;6.2;
BSV64;NPN;TO39;60;5;40min;70M;5;
BSV91;NPN;TO18;15;-;40min;600M;0.36;
BSW66A;NPN;TO39;100;2;30min;130M;5;
BSW67;NPN;TO39;120;2;30min;130M;5;
BSW67A;NPN;TO39;120;2;30min;130M;5;
BSW68;NPN;TO39;150;2;30min;130M;5;
BSW68A;NPN;TO39;150;2;30min;130M;5;
BSX20;NPN;TO18;15;0.5;40-120;500M;0.36;
BSX21;NPN;TO18;80;50m;20min;36M;0.3;
BSX30;NPN;TO39;30;0.6;30-120;250M;0.8;
BSX32;NPN;TO39;40;1;60-150;300M;0.8;
BSX36;PNP;TO18;40;0.5;40min;100M;0.36;
BSX45;NPN;TO39;40;1;40-250;50M;0.8;
BSX46;NPN;TO39;60;1;100-250;50M;0.8;
BSX47;NPN;TO39;80;1;-;50M;5;
BSX59;NPN;TO39;45;1;25min;-;0.8;
BSX60;NPN;TO39;30;1;25min;-;0.8;
BSX61;NPN;TO39;45;1;25min;-;0.8;
BSX62;NPN;TO39;40;3;40-250;30M;5;
BSX63;NPN;TO39;60;3;63-160;30M;5;
BSX64;NPN;TO39;80;3;63-160;30M;5;
BSX95;NPN;TO39;30;0.5;40-120;100M;0.8;
BSX96;NPN;TO39;30;0.5;100-300;100M;0.8;
BSY95A;NPN;TO18;15;0.2;50-200;200M;0.3;
BU102;NPN;TO3;150;7;30min;-;50;
BU103A;NPN;TO66;120;-;50-200;100M;30;
BU104;NPN;TO3;120;7;Oct-50;-;85;
BU120;NPN;TO3;400;5;35-165;10M;50;
BU127;NPN;TO3;120;10;40min;60M;25;
BU128;NPN;TO3;200;10;40min;60M;62.5;
BU132;NPN;TO3;600;1;25-125;8M;15;
BU133;NPN;TO3;250;3;15-80;8M;30;
BU134;NPN;TO3;350;4;30-120;10M;85;
BU323;NPN;TO3;400;10;30min;-;125;
BU323A;NPN;TO3;475;10;30min;-;125;
BU326;NPN;TO3;375;6;3.5;20M;60;
BU500;NPN;TO3;1500;6;3min;-;75;
BU999;NPN;SOT93;140;25;25-100;-;106;
BUL46A;NPN;TO3;500;20;5min;-;200;
BUL46B;NPN;TO3;400;25;10min;20M;200;
BUL47A;NPN;TO3;300;40;25min;20M;200;
BUL47B;NPN;TO3;250;40;30min;20M;200;
BUL48A;NPN;TO3;500;15;10min;20M;200;
BUL48B;NPN;TO3;400;15;5min;20M;175;
BUL49A;NPN;TO3;300;20;10min;20M;150;
BUL49B;NPN;TO247;500;15;10min;20M;125;
BUL50A;NPN;TO247;400;15;5min;20M;125;
BUL50B;NPN;TO247;300;20;10min;20M;125;
BUL51A;NPN;TO247;250;30;20min;20M;125;
BUL51B;NPN;TO220;500;6;5min;20M;100;
BUL52A;NPN;TO220I;500;6;5min;20M;45;
BUL52AFI;NPN;TO220I;500;6;40-90;20M;100;
BUL52B;NPN;TO220;400;8;10;20M;100;
BUL52BFI;NPN;TO220I;400;8;9min;20M;45;
BUL52BL;-;-;-;-;-;-;-;
BUL53A;NPN;TO220;300;10;25min;20m;90;
BUL53B;NPN;TO220;250;12;5min;20M;90;
BUL54A;NPN;TO220;500;4;12in;20M;70;
BUL54B;NPN;TO220;400;5;15min;20M;70;
BUL54BFI;NPN;TO220;400;5;15min;20M;30;
BUL55A;NPN;TO220;300;7;20min;20M;55;
BUL55B;NPN;TO220;250;8;25min;20M;55;
BUL56A;NPN;TO220;160;16;25min;20M;85;
BUL56B;NPN;TO220;100;18;25min;20M;85;
BUL57A;NPN;TO220;70;22;10min;20M;80;
BUL58A;NPN;TO220;160;10;20min;20M;50;
BUL58B;NPN;TO220;100;12;20min;20M;50;
BUL59A;NPN;TO220;70;15;10min;20M;45;
BUL62A;NPN;TO251;500;6;12min;20M;25;
BUL62B;NPN;TO251;400;8;15min;20M;25;
BUL63B;NPN;TO251;300;12;25min;20M;25;
BUL64A;NPN;TO251;500;4;12min;20M;20;
BUL64B;NPN;TO251;400;5;15min;20M;20;
BUL65A;NPN;TO251;300;7;25min;20M;20;
BUL65B;NPN;TO251;250;8;25min;20M;20;
BUL66A;NPN;TO251;160;16;25min;20M;25;
BUL66B;NPN;TO251;120;8;25min;20M;25;
BUL68A;NPN;TO251;160;7;25min;20M;20;
BUL68B;NPN;TO251;100;12;25min;20M;20;
BUL70A;NPN;SOT223;500;4;9;20M;3;
BUL72A;NPN;SOT223;160;7;25min;20M;2;
BUL72B;NPN;SOT223;100;8;25min;20M;2;
BUL74A;NPN;TO220;500;11;5min;16;100;
BUL74B;NPN;TO220;400;15;10min;16;100;
BUL76A;NPN;TO220;160;60;15min;21M;85;
BUL76B;NPN;TO220;100;70;25-60;20M;85;
BUP43;NPN;SOT93;60;60;20min;-;150;
BUP44;NPN;SOT93;100;50;15min;-;150;
BUP45;NPN;SOT93;250;30;12min;-;150;
BUP46;NPN;TO3;60;60;20min;-;250;
BUP47;NPN;TO3;100;50;25min;-;250;
BUP48;NPN;TO3;60;100;10min;-;250;
BUP49;NPN;TO3;80;90;15min;-;300;
BUP50;NPN;TO3;100;100;10min;-;300;
BUP50A;NPN;TO3;120;100;10min;-;300;
BUP51;NPN;TO3;175;80;10min;-;300;
BUP52;NPN;TO3;200;70;8min;-;300;
BUP53;NPN;TO3;250;60;10min;-;300;
BUP54;NPN;TO3;275;50;8min;-;300;
BUP56;NPN;TO247;60;30;15;-;150;
BUP57;NPN;TO247;100;25;20;-;150;
BUP58;NPN;TO247;250;15;10;-;150;
BUP59;NPN;TO247;60;30;15;-;150;
BUR10;NPN;TO66;80;5;40-120;50M;37;
BUR11;NPN;TO63;200;20;15min;-;175;
BUR12;NPN;TO59;120;10;80-140;-;40;
BUR13;NPN;TO63;125;70;20-100;40M;250;
BUR20;NPN;TO3;125;50;10min;10M;250;
BUR21;NPN;TO3;200;40;10min;10M;250;
BUR22;NPN;TO3;250;40;10min;10M;250;
BUR23;NPN;TO3;325;30;-;-;250;
BUR24;NPN;TO3;400;30;-;-;250;
BUR50;NPN;TO3;125;70;15min;16;350;
BUR50S;NPN;TO3;125;70;15min;16;350;
BUR51;NPN;TO3;250;60;15min;16M;350;
BUR51S;NPN;TO3;250;60;15min;16M;350;
BUS11;NPN;TO3;400;5;15min;-;100;
BUS11A;NPN;TO3;450;5;15min;-;100;
BUS12;NPN;TO3;400;8;15min;-;125;
BUS12A;NPN;TO3;450;8;15min;-;125;
BUS13;NPN;TO3;400;8;15min;-;175;
BUS13A;NPN;TO3;400;8;15min;-;175;
BUS14;NPN;TO3;400;30;-;-;250;
BUS14A;NPN;TO3;450;30;-;-;250;
BUS50;NPN;TO3;125;70;20min;-;350;
BUS51;NPN;TO3;200;50;20min;-;350;
BUS52;NPN;TO3;250;40;20min;-;350;
BUT13;NPN;TO3;600;28;30min;-;175;
BUT13P;NPN;SOT93;600;28;30min;-;150;
BUT70;NPN;SOT93;125;40;-;-;200;
BUT70MC;NPN;TO3;-;-;-;-;-;
BUT72;NPN;SOT93;300;40;-;-;200;
BUT90;NPN;TO3;125;50;10min;-;250;
BUT91;NPN;TO3;200;50;20-120;8M;250;
BUT92;NPN;TO3;250;50;20-120;8M;250;
BUT92A;NPN;TO3;300;50;-;8M;250;
BUV10N;NPN;TO3;125;25;20-60;10M;175;
BUV11;NPN;TO3;200;20;20-60;45M;150;
BUV18;NPN;TO3;60;90;20min;8M;250;
BUV18X;NPN;TO3;60;90;20min;8M;250;
BUV19;NPN;TO3;80;50;20min;8M;250;
BUV20;NPN;TO3;125;50;20min;8M;250;
BUV21;NPN;TO3;200;40;20min;8M;250;
BUV21N;NPN;TO3;160;40;15-60;8M;250;
BUV22;NPN;TO3;250;40;20min;8M;250;
BUV23;NPN;TO3;325;30;15-60;8M;250;
BUV24;NPN;TO3;400;20;15-60;8M;250;
BUV25;NPN;TO3;500;15;15-60;8M;250;
BUV26;NPN;TO220;90;14;10min;-;65;
BUV27;NPN;TO220;120;12;10min;-;85;
BUV28;NPN;TO220;200;12;10min;-;85;
BUV39;NPN;TO3;90;25;-;-;120;
BUV40;NPN;TO3;125;20;10min;-;120;
BUV41;NPN;TO3;200;20;10min;-;120;
BUV42;NPN;TO3;250;12;-;-;120;
BUV42A;NPN;TO3;250;12;-;-;120;
BUV46;NPN;TO3;850;6;5min;-;85;
BUV47;NPN;SOT93;400;9;3.2min;-;120;
BUV47A;NPN;SOT93;400;9;3.2min;-;120;
BUV47AP;NPN;SOT93;450;9;3.2min;-;120;
BUV48;NPN;SOT93;400;15;5min;-;150;
BUV48A;NPN;SOT93;450;15;5min;-;150;
BUV50;NPN;TO3;125;25;10min;-;150;
BUV51;NPN;TO3;200;20;10min;-;150;
BUV52;NPN;TO3;250;20;-;-;150;
BUV52A;NPN;TO3;250;20;-;-;150;
BUV60;NPN;TO3;125;50;10min;-;250;
BUV61;NPN;TO3;200;50;10min;-;250;
BUV62;NPN;TO3;250;40;-;-;250;
BUV62A;NPN;TO3;300;40;-;-;250;
BUW22;PNP;TO3;350;6;12min;-;75;
BUW23;PNP;TO3;400;10;-;-;125;
BUW24;NPN;TO3;450;10;10-80;20M;100;
BUW25;NPN;TO3;600;10;15-40;20M;125;
BUW26;NPN;TO3;450;10;15-40;20M;125;
BUW34;NPN;TO3;500;10;8min;-;120;
CV12253L;NPN;TO5;60;0.6;50-200;-;0.6;
CV9507-O;PNP;TO39;65;0.6;50-200;100M;0.5;
CV9507L-0;PNP;TO5;65;0.6;50-200;100M;0.5;
CV9790-O;PNP;TO39;60;0.6;50-200;100M;0.5;
CV9790L-O;PNP;TO5;60;0.6;50-200;100M;0.5;
MJ14000;NPN;TO3;60;70;15;-;300;
MJ14001;PNP;TO3;60;70;100typ;-;300;
MJ14002;NPN;TO3;80;70;15;-;300;
MJ14003;PNP;TO3;80;70;100typ;-;300;
MJ15002;PNP;TO3;140;15;25-150;2M;200;
MJ15003;NPN;TO3;140;20;25-150;2M;250;
MJ15004;PNP;TO3;140;20;25-150;2M;250;
MJ15012;PNP;TO3;250;10;20-100;-;200;
MJ15025;PNP;TO3;250;16;15-60;4M;250;
MJ2501;PNP;TO3;80;10;1kmin;1M;150;
MJ2955;PNP;TO3;60;15;20-70;2.5M;115;
MJ3000;NPN;TO3;60;10;1kmin;1M;150;
MJ3238;PNP;TO66;150;8;2min;20M;75;
MJ4032;NPN;TO66;300;0.1;30-200;15M;15;
MJ4035;NPN;TO3;100;16;1kmin;-;150;
MJ4502;NPN;TO3;140;15;25-150;2M;200;
MJ490;PNP;TO3;40;4;30-200;4M;5;
MJ491;PNP;TO3;60;4;30-200;4M;5;
MJ8100;PNP;TO39;60;5;25-180;30M;10;
MJE2955;PNP;TO220;70;15;20-70;-;90;
MJE3055;NPN;TO220;70;15;20-70;-;90;
MJE340;NPN;TO126;300;0.5;30-240;-;20;
MJE350;PNP;TO126;300;0.5;30-240;-;20;
MJL21193;PNP;TO264;250;8;25-75;4;200;
MJL21194;NPN;TO264;250;8;25-75;4;200;
PO38;PNP;TO39;300;0.5;25-200;35M;0.6;
PO39;NPN;TO39;300;0.5;25-150;35M;0.6;
SM2159;NPN;TO3;200;20;10-30;10M;200;
SML12303;NPN;TO3;300;10;20min;10M;220;
SML2166;PNP;TO3;400;15;20-100;20M;175;
SML2167;NPN;TO3;400;15;200min;20M;125;
SML2168;NPN;TO66;150;10;20-100;100M;40;
SML2169;NPN;TO39;150;7;20-100;100M;10;
SML2170;NPN;TO39;200;3;20-100;70M;10;
SML2171;NPN;TO39;60;10;20-100;100M;10;
SML2181;NPN;TO92;8;5;50min;150M;1;
SML2182;NPN;TO92;120;5;400-2k;200M;0.36;
SML4005;NPN;TO3;250;40;15-80;10M;250;
SML4005S;NPN;TO3;250;40;15-80;10M;250;
SML4007;NPN;TO3;125;70;15min;10M;350;
SML4007A;NPN;TO3;125;70;15min;10M;350;
SML4009;NPN;TO3;60;50;1000min;50M;250;
SML4014;NPN;TO3;60;100;1000min;40M;250;
SML4015;NPN;TO59;80;10;20-120;4M;40;
SML4016;PNP;TO59;80;10;20-120;4M;40;
SML5001;PNP;TO59;80;2;70-200;60M;35;
SML5502;NPN;TO39;700R;1;10-45;10M;6;
SML5503;NPN;TO39;800R;1;10-45;10M;6;
SMS932;NPN;TO3;450;20;700min;10M;150;
TIP47;NPN;TO220;250;1;30-150;10M;2;
TIP510;NPN;TO61;120;4;40-200;70M;4;
TIP536;NPN;TO3;300;7.5;20-100;10M;5;
TIP537;NPN;TO3;400;7.5;20-100;10M;5;
TIP538;NPN;TO3;200;15;20-100;-;5;
V405A;PNP;TO18;12;50m;25min;400M;0.3;
V405AL;PNP;TO18;12;50m;25min;400M;0.3;
V410A;PNP;TO39;35;0.3;40min;100M;0.7;
V741;PNP;TO18;30;10m;50min;60M;0.36;
V765;PNP;TO39;120;50m;40min;40M;0.7;
ZT1483A;NPN;TO8;40;3;20-100;-;25;
ZT1484A;NPN;TO8;55;3;20-100;-;25;
ZT1485A;NPN;TO8;40;3;35-100;-;25;
ZT1486A;NPN;TO8;55;3;35-100;-;25;
ZT83;NPN;TO18;45;0.5;55min;200M;0;
